name_m,gender_m,name_f,gender_f
har parsad,male,vidhi,female
deepak,male,pooja kashyap,female
rahul,male,jyoti,female
abhishekh,male,meena kumari,female
shelender yadav,male,"savita, sagar, panap",female
sanjay,male,reena devi,female
ankit,male,neha,female
mohd aakib,male,payal goyala,female
surender singh chauhan,male,rakhi,female
amit,male,priynka,female
arjun,male,janki,female
rahul sharma,male,laxmi  kumari,female
keshar ansari,male,rinku malav,female
raju @ chhotu,male,sohni,female
kuldeep singh,male,basnti,female
santlal@golu,male,meera,female
lalit rana,male,pinki,female
pulkit sharma,male,shivani,female
aman soni @ badal,male,kiran devi,female
jahoor ahmed meer,male,sonia,female
sumit,male,doly,female
tammanne,male,raj kumari,female
kailash kumar,male,manisha,female
bhagwati prasad,male,laxmi devi,female
ajay,male,swati joshi,female
silender,male,aashiya,female
deepak,male,reena,female
akhilesh,male,vimla,female
dipendra kumar,male,suman,female
nitin,male,sunita,female
doodhnath pandit,male,sunita,female
aslam allam,male,karina @ kavita,female
rahul,male,pooja jayshwal,female
jitender kumar,male,pooja prajapati @ pratibha,female
adnan,male,seema,female
vijay,male,kranti,female
yogesh,male,neha,female
kabir,male,dimpal @doli,female
sarvesh,male,aarti devi,female
rakesh sarkar,male,sashi mittal,female
akash gupta,male,pooja,female
rahul,male,preeti,female
pintu thakur,male,priyanka,female
vivek,male,shajiya,female
mohd khairul,male,priya sexena,female
femalearmaan khan,male,preeti,female
vansu dev,male,shanti devi,female
vansu dev,male,sitara,female
shyam kumar,male,aakanksha,female
shafemaleibul,male,charu,female
lalit kathuriya,male,pinki,female
pooran chand,male,nilam devi,female
aamir hussain,male,chango uraon,female
kamal jit singh,male,shiv kumari,female
shiv kumar,male,kaushaliya,female
mayank chaudhary @ rahul,male,babita,female
rohit,male,mangla urfemale mangi bai,female
som dutt,male,grace p.a.,female
bablu regar,male,usha,female
rohit,male,smt rubi,female
rajkumar,male,nisha @ chinu,female
mubarik,male,subhadra,female
niraj,male,lalita,female
sarbjeet @ ronak,male,asma khatun,female
axat,male,anjali,female
amit,male,kalawati,female
anubhav shrivastab,male,seema,female
akkash,male,santosh singal,female
himanshu,male,priyanka,female
harsh dagar,male,tina,female
anil kumar,male,chanchal,female
vijay virmani,male,mercy,female
vivek auhari,male,poonam,female
sachin,male,smt. manju,female
subhash chand bhatia,male,varsha,female
bhupender,male,huma khan,female
raghunandan das,male,gulbasha,female
sanjay,male,seema khatun,female
ajay kumar,male,seema,female
yognder,male,roshni,female
subhash,male,rahila maqbool,female
arun @ vicky,male,kajal choudhary,female
rahul,male,preeti,female
vikas,male,geeta devi,female
vinod,male,swati thakur,female
salman,male,pooja,female
mohan kumar,male,shenaz,female
sandeep meghawal,male,rinki,female
imamudeen,male,chandni,female
sandeep kumar,male,priyanka,female
tarjan,male,ruksana,female
kuldeep singh,male,vivek kumar,female
murari,male,kiran,female
ramvilash,male,nisha,female
jagdish,male,heena d/o zamil akhtar,female
vishal @ moni,male,jyoti,female
mohd shahid,male,rajni,female
ramvilash,male,nidhi kumari,female
kuldeep,male,seema @ simran,female
talim,male,usha devi,female
nanku prasad,male,kajal,female
bhola sarkar,male,mala devi @ nisha,female
balraj,male,khushbu,female
ravindra kumar,male,meena,female
rohit kumar,male,hamida khatun,female
uttam kumar @ sanki,male,chanchal,female
babalu sen,male,aarti,female
rustam shah,male,kanchan,female
sukhdev,male,pooja,female
b vikjay kumar,male,jyoti,female
dolly @ rekha w/o monto shah,male,priyaki rav,female
gopal sharma,male,ranu tiwari,female
beeru,male,anita devi,female
vipin,male,leelawati,female
manish garg,male,sunita,female
guddu,male,manju devi,female
jatin @ sonu,male,kamla,female
amit kumar,male,arti,female
amit kumar,male,pooja,female
shadab,male,,female
rakesh,male,mamta,female
guddu,male,anju,female
abhishek,male,priyanka,female
gulfemaleam,male,aarti,female
phoolwati @ phoolo devi,male,noor bano,female
mohit maan,male,saroj,female
veer bhan singh,male,chandni,female
dinesh kumar,male,rosy massey,female
amarjeet,male,poonam,female
satyadev,male,rinukanwr,female
mohd. mukhtaar,male,poonam,female
rishi,male,shalu,female
esrail khan,male,sneha,female
suresh kumar,male,neetu,female
pankaj chand,male,komal,female
ajay narayan,male,sapna,female
mohit @ himanshu,male,sashi,female
sumit,male,devki,female
saddam,male,priya @ nandani,female
nikhleshwar bhagat,male,pooja & his daughter partigya,female
jai singh,male,aarti,female
deepak,male,pooja,female
sunil kumar,male,sahin,female
ram kishan,male,sunita,female
arun,male,shalu,female
virender,male,anita,female
bishun,male,asha kumari,female
pritam singh,male,komal,female
akash gupta,male,kusum,female
kishan,male,archna,female
mohd kausar,male,himanshi @ roshani,female
sachin,male,jyoti,female
harman singh,male,jyoti,female
deepak,male,aarti,female
rajbir,male,anuradha,female
vinod lal,male,durga,female
,male,km sunita,female
chander shaker,male,sony jha,female
krishan,male,sheetal,female
ram ji,male,preety,female
jony,male,rubina,female
mohammad ali,male,sangeeta,female
ashok kumar s/o,male,madhuri sharma,female
ravinder @ bacchi,male,shabanm,female
amit,male,sunita,female
guman singh basyal,male,meena,female
amardeep,male,meenu chawla,female
jagdish,male,nisha,female
bharat,male,roshni,female
azaz,male,amar deep kaur,female
raja kumar,male,jyoti,female
parveen,male,shakshi,female
mahabir prasad,male,neelam,female
kartik @ kaku,male,aarti,female
shubham yadav,male,smt sunita,female
yogesh,male,rajia,female
madan,male,devi,female
rashid,male,sita,female
jitender,male,rubi,female
pawan kumar,male,jyoti,female
vivek,male,priyansi,female
pintu kumar,male,nandu,female
deep,male,nazmin,female
dharmbir,male,neha,female
rishi kakdia,male,varsha,female
kunal @ kannu,male,tripti,female
arman ansari,male,ramvati,female
avinsh,male,vandana,female
karan,male,afemalesana,female
sandeep kumar,male,femalearida begam,female
sagar,male,khushbu,female
nikhil,male,neha,female
raman,male,arti,female
sujen manjhi,male,simran,female
abhijeet,male,ranita,female
anshu,male,yogita tiwari,female
sahil,male,asha,female
aditya som,male,kiran devi,female
gaurav,male,pooja,female
raja kumar,male,soniya,female
sunil,male,hemlata,female
ravi kumar,male,priyanka,female
shankar kumar,male,kajal,female
vishvash,male,sushma,female
sonia,male,kavita,female
santosh,male,ranjana,female
kayamuddin,male,benjir heena mohd.,female
rohit kumar,male,manju,female
nandkishore karpenter,male,soniya,female
lala bhai,male,seema,female
kishan rai,male,komal,female
mahender kumar,male,salma,female
deepak,male,rukshana,female
mohd afemalezal,male,palak,female
satender,male,astha,female
shiv prasad singh,male,femaleahija,female
mobin,male,reeta,female
khokan sarkar,male,noojo khatoon,female
vikash,male,chaya,female
krisana braman,male,vandana,female
vipol,male,pooja,female
sanjay,male,mamta,female
mohd miraj ansari,male,kiran,female
rajmani,male,sakila,female
harbir  singh,male,rehana,female
mohan,male,mamta,female
femalearid,male,jyoti,female
yuvraj kumar,male,radha devi,female
charan jeet singh,male,kumari komal,female
satish kumar,male,neha siddiki,female
gappu,male,geeta,female
nazeem,male,mira,female
aamir,male,smt. anju,female
vivek sharma,male,neha,female
sandeep,male,manisha,female
gutam,male,priti,female
prakul,male,swati,female
birjesh,male,seema,female
sahil tigga,male,roshini praveen,female
girishi chand,male,neha,female
pavan sharma,male,anjali,female
ikramuddin,male,afemalesana,female
sajan,male,shilpa,female
molu,male,sudha kumari,female
dilawar,male,afemalerin,female
naval kishore,male,sabnam,female
sanjay,male,batloon w/o garib ulla,female
ajahar,male,monika,female
sanjeev,male,anjum devi,female
raman ralhan,male,smt dhapa devi,female
raman ralhan,male,priti,female
rohit,male,yogita,female
prem chand,male,mohini,female
sandhaya,male,samsad,female
ashish,male,sama,female
irfemalean,male,kusum,female
jang bahadur,male,maya,female
om parkash ahuja,male,jassi,female
kamre alam,male,raj kumari,female
md. raju,male,arti,female
dinesh,male,priyanka,female
satpal,male,priya,female
ram pyare,male,maya,female
suraj singh,male,yashoda,female
ashfemaleaq,male,susila gudiya,female
shaid,male,kajal,female
vikas gupta,male,kumari shivani,female
vijay singh,male,ramaiya,female
hari ram,male,kamli,female
manoj kumar,male,munbura bibi,female
parash das,male,laxmi,female
mehraj,male,bulbul  devi,female
chetan,male,radha,female
bhanwar lal,male,rajni,female
sanavvar,male,rupa,female
rahul sharma,male,kumkum,female
mustaq,male,ruksana bano with her son or daughter,female
ramkaran verma,male,priyanka bagcdani d/o gulab bagcdani r/o 11/95 c.h,female
mukhtyar hussain,male,nisha,female
vakil,male,kiran,female
bilal malik,male,sweety,female
radheshyam sen,male,gulafemalesa khatun,female
mukesh,male,pooja,female
sunil kumar,male,pooja,female
sunny,male,pooja,female
jitender rajak,male,priyanka,female
brahamprakash s/o meer singh,male,captain,female
raju singh,male,aarti,female
sobit saini,male,kumari priyanka agarwal,female
inder dutt,male,rekha @ boby,female
shakir,male,aarti,female
haseen ahmed,male,akansha,female
kiran,male,kritika@kittu,female
gulam rashul,male,sefemaleali @ sweta,female
rajan,male,khshbu,female
ayush,male,heena,female
suraj,male,sangeeta,female
sehboob,male,sunaki w/o kallu,female
sanjay kumar s/o,male,paramjeet kaur,female
manish,male,sangeet,female
amit kumar yadav,male,shalu,female
divaraj,male,neelima,female
kamlesh,male,deepti,female
rajiv bagoriya,male,rajkumari,female
abhinav chaudhary,male,pooja kanwar,female
rahul,male,heena,female
"devender singh s/o shrinath r/o kh. no. 72/1, utsa",male,meena,female
azruddin,male,rizwana khatun,female
sanjay kumar @ pappu,male,madhuri,female
mushir ahmed,male,gulnanj,female
vibhuti shyamal,male,pinki,female
inderjeet,male,rajni,female
sanjay,male,archana,female
golu,male,rajni devi,female
lokesh,male,radha,female
rajkumar,male,rinki,female
neeraj kandari,male,dipti,female
mukul verma,male,kiran,female
rijakpal,male,araddhna,female
jai kishan,male,bharti,female
munna lal jain,male,ku dolly,female
jai prakash kashyap,male,meena devi,female
jai prakash kashyap,male,payal,female
shishram,male,divya kawar,female
parveen aggarwal,male,laxmi kumari,female
pramod paswan,male,babli,female
ajit,male,muskan urfemale suman,female
deelip,male,neha,female
deelip,male,rekha,female
rahul,male,badrunisha,female
aafemaletaab husan,male,neelam,female
monu,male,poonam,female
ramesh,male,kanchan,female
sawan gupta,male,pinki,female
munna lal,male,varsa,female
saurabh,male,shukla vishwas,female
sarvesh kumar pandey,male,ekta chauhan,female
avdhesh,male,pooja kumari,female
sohnal kumar singh,male,asha,female
najar hussan,male,simran,female
raman @ rancho,male,minakshi,female
lavtar singh,male,nasima @ reshma,female
nanak chand,male,rajesh,female
harprasad sahu,male,madhuri,female
vikas kumar,male,kajal,female
ashsish kumar,male,juneb bano,female
rajesh singh,male,parerna,female
ashu,male,alka,female
manjeet,male,manju devi,female
jaipal,male,anita,female
jalil ansari,male,gungun,female
deepak verma,male,neelam,female
kasim,male,monika,female
monu kumar,male,sonia tiwari,female
shankar kumar,male,muskan,female
manish kumar saket,male,priynka,female
vijay,male,smt.kiswar jahan,female
udham,male,muskan,female
saurabh s/o,male,vandhna,female
ayush,male,kanchan,female
ravinder,male,santosh bai,female
rahul,male,munni khatun,female
narayan gadri,male,smt. annpurna,female
lakshman nath,male,saneha,female
rahul,male,hemlata,female
rohit,male,monika rani,female
ajay,male,neha,female
sachin kumar,male,reema jha,female
shahid,male,kumari meera,female
amarjeet,male,raj kumari,female
munna @ ravi jaiswal,male,yashika,female
ishtkar,male,aarti,female
harish chand,male,tapsam,female
puneet jain,male,sapna,female
abhishekh,male,khusboo,female
rashab,male,ishika,female
amit kumar shukla,male,partibha,female
vinod,male,narbada,female
prafemaleul naag,male,kumari manju,female
tarachand @ pappu,male,anita,female
deepak rana,male,rinku kumari,female
puran singh rastogi,male,pooja,female
narender,male,sandhya,female
lal babu prasad,male,renu,female
dinesh,male,deepika,female
rakesh,male,kanchan,female
ankush,male,spana,female
kuldeep,male,sapna,female
lal chand,male,rita roy,female
vivek,male,manju,female
pankaj,male,reshma,female
sanjay,male,samaiali,female
kiran pal,male,heena,female
ranveer singh,male,manju devi,female
anwar,male,priyanka sagar,female
sadab urfemale golu,male,samreen,female
gorav,male,himanshi,female
raj kumar @ raju,male,mamta,female
jitender,male,reena,female
laxmikant @kaka,male,pankaj,female
narayan parsad bhushal,male,roshan,female
abbas,male,gul afemaleshan,female
avinash,male,shana,female
ravish,male,nagma,female
hukum chand,male,usha devi,female
pappu @ mahender singh,male,mamta,female
akash tomer,male,tanuja,female
mahesh chand tiwari,male,rishu,female
rekhai,male,gunjan verna,female
gajender kumar,male,noor jala,female
vashudev,male,,female
bhanwar singh,male,varsha,female
amit kumar,male,anjali,female
surender sain,male,khusbhu,female
akshay kumar,male,khusbhu,female
goldy,male,reshma,female
satyender @ kalu,male,sushma,female
devender,male,lakhi devi,female
veer,male,nayana kumari,female
ankush @ shera,male,nirmal,female
mohd. amir,male,bhawana,female
babloo,male,preeti,female
bhavesh dass,male,reema,female
gourav,male,jamrujaha,female
sunil,male,anju devi,female
guddu rai,male,puja,female
yogesh rawat,male,durga devi,female
amarapal,male,ruchi,female
rajesh agarwal,male,aruna with children,female
tara singh rawat,male,chanchal,female
momin,male,chama ( with child dependeri age 2 years),female
parnav kumar,male,deepa,female
neeraj kumar,male,poonam,female
parminder,male,poonam,female
mustafemalea,male,gulafemalesa,female
ajay haldar,male,manisha,female
sanjay,male,babita,female
dharmender,male,seema,female
gaurav sethi,male,smt ladidavi,female
suresh,male,khushbu,female
rohit,male,sunaina,female
dinesh,male,gulista,female
sachin kumar,male,kumari deepa,female
sagar,male,priya urfemale laxmi devi with her son,female
vipin,male,manisha,female
parth madan,male,khushbu,female
kuldeep,male,komal,female
abhimanyu,male,vandana,female
pawan kumar @ sonu,male,jyoti devi,female
rohan,male,payal,female
raju garg,male,kesnata devi @ rajni,female
samir mishra,male,matul  devi,female
ram dayal,male,nainshi,female
jagdish chand,male,mubshshira,female
kanheya,male,sona sarkar,female
deepak,male,neeru,female
mushrrafemale,male,poornima,female
prem,male,km. guddi,female
pardeep kumar,male,sunita devi,female
monu,male,laxmi,female
pawan,male,shayra,female
manoj kumar,male,neelam mehta,female
deepak,male,priya kumar,female
nithyanandham,male,sashi,female
deepak goyal,male,himani,female
sunil ladkani,male,sazi,female
ajay,male,rashida khatoon,female
gopal,male,radhika,female
vivek,male,,female
mahavir,male,ruzina khatun,female
indra sain,male,kajol,female
soni,male,manisha,female
arun kumar,male,jyoti,female
ashok sharma,male,rukmani,female
veer singh,male,radhika,female
aman dahiya,male,shabana,female
pawan,male,geeta,female
laxmi narayan,male,sarita,female
vikram dubey,male,poonam yadav,female
rima,male,neelu,female
suraj,male,rangeeta,female
virender,male,shahnawaj,female
tara singh rawat,male,rimpy,female
ramjan khan,male,rekha,female
sunder,male,saroj devi,female
omparkash,male,seema chauhan,female
saddam,male,kumari gori,female
alok tiwari,male,chumki,female
vude bhadur,male,pooja chawriya,female
prem singh bidla,male,jyoti,female
chetanya swaroop,male,virjiniya,female
pinkoo @ guddu,male,laxmi,female
shardanand,male,gulfemaleasha,female
vikash,male,nirmla devi,female
henkhochon haokip,male,kavita,female
gaurav shankar,male,saanu goyal,female
shsi kant,male,smt kaushalya,female
md. tavrej,male,divya bharti,female
amrudin,male,varsha,female
shahnawaz,male,nisha,female
brij raj,male,apsana,female
aman kumar,male,heena,female
dinesh,male,priti yadav,female
vijay kumar,male,bharkah,female
baban @ suresh,male,deepali,female
subham kumar yadav,male,heena,female
sapna,male,priyanka,female
surendra,male,,female
naveen,male,muskan,female
ram niwas,male,mudsay,female
amar,male,rubbi,female
nanhu khan,male,nagma,female
kishan,male,ruksar,female
dharmender,male,komal,female
raja ram,male,smt. sushma,female
rishab,male,alka,female
ziyabul,male,smt. chancal,female
jag mohan,male,ruby,female
devender,male,kusuma,female
ritu raj kumar,male,himanshi,female
manoj kumar,male,smt. sushma,female
raj kapoor,male,sumnesh,female
arvind agarwal @ pinto,male,neha,female
rajbir ahlawat,male,heena,female
mohd femaleaijan,male,shivani,female
suraj,male,reena,female
shyama,male,lali @ deepa,female
mohd. femaleiroz,male,zareena,female
jagdish,male,minakshi,female
bhag chand,male,aarti,female
sachin,male,karishma,female
parbhat,male,swati,female
aamod & pramod,male,mamta,female
chander shekhar,male,priyanka,female
nanagram,male,seema,female
gautam,male,preeti,female
mohan,male,usha,female
govind,male,jasoda,female
raja babu,male,poonam,female
pramjot singh,male,shathi davi,female
abhinav vashit,male,nimla sharama,female
usha,male,menadevi,female
vivek chabra,male,sut. suman khatik,female
ashish,male,sameem,female
ankit,male,shrishti,female
harish chand,male,bharti,female
nootan prakash yadav,male,jyoty,female
surender,male,gudya singh,female
chhotelal,male,sunita,female
karan,male,meena,female
karan,male,pooja,female
abdul kadir,male,laxami,female
vikas kumar,male,meghana,female
sambhu,male,kangana,female
bablu,male,garima,female
bablu,male,nandni,female
rajender @ kaku,male,lalita devi,female
ram ldaike,male,nazrin,female
raju,male,saraswati,female
yasib,male,bhatri,female
sone lal shah,male,rakhi,female
manoj kumar,male,mobsheera haider (shadiya),female
chhotu harijan,male,pooja,female
sushant,male,montu,female
om prakash,male,montu,female
manish kumar,male,kajal,female
adersen,male,pinki,female
mukesh kumar yogi,male,madhu,female
ramesh,male,mudrika,female
sagar,male,radhika,female
amit,male,madhu,female
gautam kumar,male,devi sharma,female
raj kumar,male,shivani,female
hardeep @ hunny,male,muskan,female
rohit kumar,male,poonam,female
himanshu,male,sonia,female
femaleitrat,male,gytri  garg,female
pankaj saini,male,shashi @ kajal,female
manish sehrawat,male,suganti @ sonali,female
krishan,male,swati singh,female
ravi chandra natarajan,male,laxmi,female
karunakar dehra,male,nekki,female
somdath,male,rajni,female
shiva,male,poonam,female
rajeev jha,male,khushi,female
vishal,male,kureja,female
mukesh soni,male,anupama,female
ashok kharkwal,male,anupama,female
raj kumar,male,sheetal,female
iswar sharan,male,rekha,female
maj- koko khaing,male,deepika,female
manni @ manish,male,gyatri,female
sonu,male,raj rani,female
amrit patel,male,ridhima,female
tausin,male,rekha kumari,female
rajveer,male,nisha hajra,female
rupesh rathor,male,naseeba,female
dinesh singh rana,male,isha naaz,female
bhrat narayn,male,shivani,female
annu,male,jeenat,female
ombir singh,male,ruksana bano,female
ombir singh,male,soniya,female
anand,male,sarita,female
rajesh kumar,male,biwa kumari,female
varun chandela,male,gayatri,female
rahul,male,ridhima,female
yameen,male,sunita verma,female
ravi singh,male,komal,female
jitendra singh,male,kanchan,female
vivek,male,megha bansal,female
iarfemalean mohammad,male,neni,female
raj kumar,male,sangeeta,female
mukesh,male,surjeet kaur,female
sahil,male,tina,female
vasim,male,swati,female
gaurav kumar,male,nisha kapoor,female
prateek kumar tiwari,male,,female
birju,male,shivani,female
pradeep,male,parwati,female
raghubir singh,male,anjali,female
ayub khan,male,kanta,female
ram jatan,male,priyanka,female
azhar  ali,male,prema devi,female
tufemaleail,male,maya kumari,female
parveen,male,sajida,female
afemaleridi,male,disha,female
tahir,male,geeta,female
ankit tiwari,male,minakxi,female
ravi,male,munni,female
abhay,male,smt. vidhya tiwari,female
anuj tiwari,male,nisha,female
vipiv malkania,male,pooja,female
inderpal,male,ranjeeta,female
dinesh singh,male,smt. shweta gupta,female
suraj,male,anam,female
sanjit misra,male,vibha,female
aasto,male,roshan,female
charan singh,male,krishna,female
dhansinghpuri,male,asha devi,female
chottu shah,male,resham yadav,female
ram chander jha,male,pavitra,female
arjun,male,manpreet kaur @ preet,female
nirmal,male,rekha,female
niranjan,male,bigan mehto,female
mantu kumar,male,lalita,female
saurabh,male,razia,female
femaleirakat ali,male,pushpa,female
ajay,male,aman jeet,female
sagar,male,aman,female
ashshwer parsad,male,indra,female
akash,male,devi kanwar,female
andhav,male,neha,female
akhil kumar,male,sunita,female
ranbir,male,neetu,female
amit,male,manju kumari,female
inderjeet mandal,male,parul,female
sikandar,male,mansi,female
arjun singh,male,sabbo bano,female
vishal mishra,male,bimlesh,female
dalip shah,male,chhabi rani dass,female
mohd. jafemaleruddin,male,rubi,female
satnosh,male,pooja,female
sohan lal,male,anshu,female
vinod kumar,male,bindiya,female
dinesh singh,male,manisha,female
ajay kumar,male,rajni,female
pawan,male,pooja,female
aasish  kumar,male,santosh,female
tavinder kumar,male,seema,female
laxman,male,seema,female
milan,male,tara kanwar,female
harishankar verma,male,sarojini,female
rahul,male,phulkana,female
manish,male,kiran,female
arun,male,sapna,female
sri kant,male,krishka,female
radheyshyam saini,male,ilema,female
mohit,male,sonam,female
damanjeet singh,male,khushi,female
sameer,male,sahar bano,female
bhushan sahay,male,sahiba,female
ramesh kumar,male,rita,female
samadh,male,pinki,female
malkeet singh,male,nisha,female
sachin,male,chandni,female
uma shankar,male,chandni,female
kamla prasad,male,himanshi,female
mukesh,male,sunita,female
mohd. iqbal,male,akansha,female
sachin,male,gayatri @ rani,female
tikku,male,pooja,female
deepak,male,nisha,female
vikash,male,bimla,female
janesh,male,rada,female
satender,male,maya,female
lakshya chauhan @ lucky,male,rahina,female
anoop singh,male,parvesh kumari,female
dal chand,male,manorma,female
pushpendra singh rathore,male,sapna,female
harpal singh,male,neha,female
khimanand,male,kirti ahuja,female
manoj  kumar age-24 & satesh  kumar age 18,male,alam aara,female
akshit,male,priti rawat,female
chandan kumar,male,suman,female
vinay,male,kum  mamta,female
pancham,male,tamsa,female
ritu raj,male,hoor bano,female
vinay kumar upadhayay,male,bhawana jat,female
shekher,male,sunita with her daughter,female
vinod,male,sangeeta,female
abhishek yadav,male,sangeeta,female
abhishek yadav,male,harneet kaur,female
manish khandelwal,male,harneet kaur,female
bir singh,male,roshani,female
ram niwas,male,radha,female
rajkumar saini s/o madan lal saini,male,deepa,female
rakesh,male,mansi raghav,female
mohd sajim,male,jyoti,female
shankarlal s/o sukharam,male,pooja,female
rahul sharma,male,sarita devi,female
neeraj kishore,male,laxmi,female
ishwar,male,vimla,female
bilal,male,preeti,female
ravi parkash solanki,male,sukhbir kaur,female
rohit kumar tiwari,male,seema,female
pramod,male,saveta,female
manjeet kumar,male,rakhi chauhan,female
vimal kumar,male,rani,female
vijay,male,kafemaleia,female
abbas mehndi,male,minakshi,female
omprkash,male,smt sarita,female
deepak rathore,male,shabana @ gudiya,female
masoom,male,madhu @ anita,female
deepak kamat,male,rubby,female
ajay @ ajju,male,ankita kanwar rathore,female
abhishek,male,meera,female
toquir ali,male,manisha,female
shyam sundra,male,chand mundari@geeta,female
ankit,male,kinya devi @ pinu,female
sarthak dadwal,male,pooja,female
armaan @ suvalin,male,shikha rai,female
kunal kishore,male,kajal,female
nabav shekh,male,priti,female
kasim ansari,male,kanika sharma,female
nitin parkash,male,pallavi,female
deepak,male,sakshi,female
subin sugathan,male,asgari bagam,female
mayur agarwal,male,mumtaz @ babi,female
madan lal,male,ruksar,female
vinay kumar,male,kavita harijan,female
ghansyam soni,male,sunita,female
ram dutt,male,anupam,female
sanjeev sharma,male,karishma,female
devender singh,male,parniti,female
asharam,male,ruksar,female
son pal@ sonu kumar,male,pappy,female
badri prsad mishra,male,raziya,female
azad ali,male,payal,female
jorj vargees,male,neeru,female
naresh adhikari,male,anita bai,female
deepu,male,mohini,female
pawan singh,male,diksha rani,female
aashik,male,jamila khatoon,female
amit kumar verma,male,preeti,female
subham @ vikash,male,sabhana,female
sugodh kumar,male,durgash urfemale mahi,female
ashok,male,smt laxmi,female
satish,male,rupa verma,female
sanjeev,male,km varsha,female
munender singh,male,ankita,female
krishan kumar,male,seema,female
suraj,male,namarta,female
ashutosh @ deepak,male,guddi with 02 children,female
rajkumar,male,phoolmani,female
saddam hussain,male,yogita,female
harender,male,shiwani,female
jay kumar,male,parveen khatun,female
mohd imran @ munna,male,kajal,female
amit,male,saroj,female
shyam sunder,male,anju goyal,female
parmod,male,jyoti,female
mangat singh,male,renu,female
sanjeev,male,seema,female
aryan prateek,male,naseem,female
rahul chauhan,male,hemraj,female
savan,male,sonia,female
mohd siwam,male,pushpa,female
aarifemale,male,ramwati,female
rajender kumar,male,imrana,female
dinesh,male,vaishali,female
manish @ mukesh,male,jasoda,female
ramesh singh negi,male,kripya minch,female
patik@monu,male,pushpa sahu,female
nand kishor,male,chanchal,female
rajeev luka,male,sonam bano,female
sarad raghuvansi,male,savita,female
ram prakash,male,rashika,female
sh pratap singh,male,priti,female
liyakat ali,male,chanchal,female
vicky,male,poonam,female
bodh raj @kala,male,priyanka,female
pankaj ratori,male,bilke khatoon,female
leela dhar narang,male,sarita,female
devender,male,kajal,female
chanchal,male,punam,female
abdul rehman,male,krishna@manisha,female
shamshad,male,kavita,female
bittu paswan,male,madhu,female
shashank sharma,male,kulli devi,female
hare chatiyan,male,kali,female
deepak,male,komal berwal,female
vipulander,male,kumari radha,female
yogesh,male,chotti jha,female
abdul rahman,male,sivani,female
raju,male,monika,female
khuma ram,male,shamima,female
naresh chand @ pappu,male,smt. muslima bibi,female
saurabh,male,rama sharma,female
komal / kabila,male,jyoti,female
